"stock1","stock2","dead1","dead2"
281,0,50,3
0,0,4,10
0,0,20,2
185,123,50,50
0,0,11,2
0,246,19,50
227,0,50,2
0,0,29,3
0,0,7,5
123,0,50,3
0,0,13,5
0,0,11,11
0,0,22,17
0,0,2,5
0,0,5,5
0,0,36,5
0,0,5,3
78,99,50,50
127,167,50,50
0,0,4,3
0,0,16,34
132,0,50,13
0,97,8,50
0,0,2,15
0,0,4,12
0,230,13,50
0,0,4,36
0,0,13,11
335,281,50,50
170,0,50,2
0,0,30,4
0,0,3,4
0,0,8,11
190,0,50,3
0,0,3,23
0,0,4,43
0,0,20,14
0,0,5,5
0,0,16,24
0,0,2,3
0,169,37,50
119,0,50,3
0,0,12,8
0,129,41,50
115,0,50,48
0,107,10,50
137,0,50,45
0,77,3,50
0,101,36,50
0,0,5,22
76,169,50,50
0,0,7,34
273,311,50,50
0,0,6,6
110,0,50,5
261,0,50,19
0,105,7,50
0,0,5,10
0,0,5,5
0,0,5,19
0,0,15,30
170,0,50,13
71,0,50,3
0,0,6,7
0,0,5,3
0,218,21,50
105,0,50,10
0,119,9,50
121,0,50,8
0,0,9,10
115,0,50,33
0,0,2,5
0,0,6,33
0,0,5,22
0,77,11,50
0,0,14,16
160,0,50,37
0,0,25,2
0,0,25,8
0,0,6,8
0,0,5,24
0,0,47,5
105,0,50,3
218,0,50,34
137,0,50,3
75,0,50,13
0,92,14,50
0,53,3,50
0,0,3,6
0,0,5,15
0,0,30,4
128,0,50,23
210,0,50,19
0,0,3,3
121,0,50,4
0,0,8,5
0,0,5,9
0,0,3,14
117,0,50,3
0,0,16,10
0,0,7,44
250,151,50,50
0,0,5,20
0,0,7,4
0,0,4,15
0,0,31,25
0,269,21,50
0,0,6,35
0,0,9,4
0,0,21,3
0,0,5,6
0,205,7,50
0,0,20,22
0,0,3,10
0,0,19,4
0,0,6,11
168,110,50,50
112,0,50,3
0,0,50,34
0,0,33,11
0,0,9,8
0,0,49,13
0,247,4,50
0,0,6,4
0,0,6,41
0,0,16,8
0,0,4,8
105,0,50,7
0,0,9,2
0,0,3,9
0,122,26,50
0,121,5,50
196,80,50,50
135,0,50,2
0,176,25,50
0,0,3,3
0,0,8,2
0,252,13,50
166,121,50,50
368,0,50,2
0,0,15,11
0,0,40,45
0,0,3,20
0,0,16,16
144,0,50,7
0,0,29,3
0,0,22,7
0,0,4,3
0,0,3,6
175,0,50,8
0,0,7,8
0,0,5,19
164,0,50,27
160,0,50,19
0,0,2,5
0,0,46,6
0,0,8,44
309,497,50,50
0,115,6,50
0,0,4,3
0,0,30,38
0,0,7,39
0,46,6,50
0,0,40,3
0,0,5,3
0,0,2,3
283,123,50,50
0,206,31,50
0,171,3,50
0,0,2,2
0,0,33,11
209,0,50,35
0,0,15,11
0,173,4,50
0,155,2,50
0,0,7,2
0,0,8,3
0,0,8,3
0,0,33,36
0,127,2,50
0,0,13,35
234,121,50,50
0,0,10,8
0,62,3,50
0,0,14,3
0,0,25,2
0,0,3,11
109,0,50,45
0,0,4,14
0,0,7,17
0,142,10,50
0,98,3,50
0,0,17,39
0,0,28,2
0,0,4,2
0,0,4,2
0,0,2,2
0,78,7,50
0,0,12,14
0,0,26,12
234,83,50,50
0,0,3,2
0,0,10,12
156,0,50,2
0,0,10,4
0,68,2,50
0,0,6,12
101,0,50,8
0,0,32,4
0,129,13,50
44,0,50,5
0,0,6,4
0,0,9,7
0,0,24,2
126,151,50,50
0,0,32,8
0,154,2,50
