"stock1","stock2","dead1","dead2"
272,0,50,32
0,0,3,3
52,64,50,50
0,0,33,33
0,0,8,2
0,0,8,8
0,0,31,3
0,0,9,10
99,94,50,50
0,0,11,6
0,0,19,24
0,0,41,5
0,0,15,8
70,123,50,50
148,0,50,6
255,198,50,50
99,104,50,50
0,0,10,14
143,0,50,18
0,0,4,2
88,192,50,50
122,0,50,7
0,0,20,15
0,0,5,4
131,0,50,37
0,159,2,50
124,0,50,29
227,0,50,27
0,0,14,15
0,0,7,7
110,0,50,23
0,0,12,12
0,72,47,50
0,197,10,50
154,0,50,33
0,0,23,17
0,0,17,19
0,0,8,2
90,163,50,50
202,0,50,6
0,0,50,26
60,0,50,18
78,185,50,50
151,0,50,28
66,82,50,50
169,0,50,4
0,0,8,14
108,0,50,22
0,0,2,7
237,0,50,34
0,0,16,6
0,0,48,44
0,0,4,36
0,0,3,22
0,0,45,45
146,157,50,50
0,0,18,19
0,0,3,9
0,0,18,13
0,0,6,4
0,0,6,3
0,0,23,13
128,0,50,12
0,0,4,5
0,0,28,12
0,0,3,9
0,0,33,10
79,129,50,50
0,0,5,23
78,95,50,50
0,0,11,8
0,0,2,9
0,0,12,8
112,94,50,50
0,0,25,20
0,0,17,6
0,0,21,15
0,0,3,29
0,0,6,2
164,0,50,27
109,79,50,50
0,0,4,2
0,0,29,21
0,0,50,3
0,0,4,14
0,0,3,6
134,170,50,50
103,0,50,29
0,0,18,19
0,0,6,2
0,0,21,21
0,0,5,3
0,150,2,50
0,0,29,23
103,180,50,50
0,0,17,24
256,0,50,34
144,0,50,7
0,0,2,16
0,0,34,6
0,0,5,10
68,0,50,9
0,0,11,41
0,0,12,23
0,0,7,7
0,0,5,2
300,0,50,2
172,148,50,50
0,0,39,6
0,133,17,50
0,0,2,7
0,0,33,2
0,0,9,6
100,0,50,34
0,0,10,8
0,0,5,2
126,97,50,50
0,0,15,19
64,76,50,50
0,0,5,4
0,0,20,10
0,0,24,11
0,0,40,40
79,287,50,50
0,102,2,50
182,0,50,9
116,106,50,50
0,0,7,14
0,0,15,13
136,0,50,12
0,0,6,15
0,0,39,39
0,0,3,3
0,0,3,2
0,0,23,31
104,99,50,50
0,0,4,16
0,0,13,7
114,0,50,48
0,0,3,4
0,0,2,2
0,0,5,17
69,90,50,50
96,118,50,50
130,91,50,50
0,0,4,4
0,0,3,3
0,0,45,44
191,134,50,50
0,129,5,50
0,0,7,6
0,0,13,10
0,0,6,6
0,114,30,50
0,0,33,23
162,73,50,50
0,142,2,50
0,0,16,13
0,0,41,16
73,99,50,50
202,0,50,17
220,0,50,3
