"stock1","stock2","dead1","dead2"
0,0,14,2
0,0,13,14
0,0,4,6
0,0,21,23
0,0,4,7
0,0,9,5
0,0,14,5
0,0,9,11
0,0,5,2
0,0,9,3
0,0,31,26
148,67,50,50
0,0,20,22
0,0,43,15
0,0,2,5
0,0,29,25
0,0,24,2
0,0,40,34
0,0,46,9
239,67,50,50
0,0,11,12
0,0,2,4
116,0,50,49
0,0,14,5
199,70,50,50
0,0,13,14
68,64,50,50
79,0,50,21
0,0,12,4
242,65,50,50
0,0,8,3
0,0,16,9
156,0,50,28
0,0,39,36
248,67,50,50
0,0,6,8
0,0,25,26
0,0,17,11
0,0,36,6
0,0,37,38
74,0,50,42
0,0,43,35
0,0,40,14
157,0,50,50
105,0,50,4
0,0,11,9
0,0,4,6
96,0,50,35
178,69,50,50
0,0,21,21
0,0,28,10
0,0,13,16
0,0,13,15
160,0,50,24
0,0,25,12
0,0,3,4
169,0,50,41
0,0,30,32
324,72,50,50
280,0,50,21
0,0,28,30
108,0,50,6
98,64,50,50
0,0,6,5
0,0,47,14
130,66,50,50
0,0,9,8
0,0,48,48
298,65,50,50
0,0,9,4
48,0,50,37
0,0,11,12
0,0,32,32
217,70,50,50
137,0,50,8
0,0,4,5
0,0,30,8
0,0,19,20
107,0,50,27
0,0,43,34
0,0,11,14
0,0,43,36
0,0,15,17
0,0,18,18
0,0,20,20
0,0,13,13
0,0,6,2
0,0,24,24
0,64,50,50
0,0,11,15
0,0,23,4
230,0,50,48
0,0,2,2
0,0,21,24
0,0,31,8
0,0,8,9
0,64,48,50
0,0,21,16
0,0,27,29
0,0,9,10
141,0,50,8
0,0,9,2
174,73,50,50
0,0,34,11
0,0,7,9
0,0,7,3
0,0,6,7
0,0,25,21
0,0,37,39
0,0,5,2
0,0,28,12
245,64,50,50
0,0,8,11
0,0,6,8
0,0,14,15
291,65,50,50
118,0,50,11
0,0,13,13
0,0,15,17
0,0,6,8
0,0,16,17
188,0,50,2
152,0,50,35
130,0,50,8
77,0,50,12
0,0,9,8
0,0,42,44
0,0,40,16
0,0,11,12
71,0,50,3
95,0,50,15
0,0,18,18
94,0,50,21
112,69,50,50
0,0,4,4
0,0,17,10
0,0,35,2
0,0,6,8
167,64,50,50
0,0,44,38
0,0,19,8
133,0,50,47
0,0,12,13
105,64,50,50
0,0,6,8
264,66,50,50
163,0,50,31
0,0,27,27
177,0,50,11
0,0,43,43
81,0,50,19
0,0,17,19
169,65,50,50
0,0,14,16
0,0,47,38
0,0,31,32
0,0,30,32
112,64,50,50
0,0,4,6
0,0,5,5
0,0,7,7
0,0,34,34
0,0,27,5
157,69,50,50
0,0,33,32
0,66,49,50
150,0,50,20
0,0,34,2
0,0,4,7
368,67,50,50
0,0,17,18
104,0,50,19
442,65,50,50
0,0,11,4
0,0,18,17
83,0,50,32
0,0,11,16
0,0,17,7
2,64,49,50
221,0,50,4
0,0,19,14
0,0,36,37
0,0,22,22
265,68,50,50
267,0,50,3
0,0,6,8
0,0,11,13
0,0,34,19
0,0,12,10
0,0,14,20
0,0,17,18
0,0,18,8
0,0,8,9
0,0,19,13
207,0,50,12
0,0,6,7
0,0,43,42
0,0,19,18
137,71,50,50
157,65,50,50
0,0,35,38
6,64,48,50
0,0,11,2
0,0,8,10
0,0,15,17
0,0,6,10
0,0,5,5
0,0,9,3
203,64,50,50
0,0,33,33
0,0,12,2
191,0,50,30
234,68,50,50
0,0,17,20
0,0,3,5
0,0,11,6
0,0,20,20
153,0,50,4
0,0,21,16
0,0,10,11
0,0,4,7
182,0,50,18
0,0,2,3
0,0,24,26
83,0,50,10
180,64,50,50
0,0,15,17
0,0,4,2
92,0,50,40
0,0,9,12
0,0,16,17
228,64,50,50
0,0,7,7
0,0,10,11
0,0,5,5
305,0,50,34
0,0,20,19
0,0,14,17
148,0,50,22
0,0,45,3
0,0,44,38
0,0,25,28
68,0,50,16
107,64,50,50
0,0,24,22
0,0,9,11
65,0,50,48
96,0,50,47
90,64,50,50
0,0,19,19
0,0,6,4
0,0,48,5
0,0,18,19
0,0,9,14
158,64,50,50
0,0,43,6
1,64,49,50
0,0,33,33
0,0,12,6
0,0,2,4
133,0,50,6
0,0,13,9
0,0,49,23
140,0,50,32
100,0,50,13
0,0,37,6
0,0,40,42
0,0,29,27
0,0,46,16
0,0,35,30
0,0,22,20
0,0,3,4
0,0,28,2
300,64,50,50
102,0,50,38
0,0,8,6
0,0,7,8
0,0,6,5
141,64,50,50
0,0,7,9
0,67,48,50
155,0,50,15
92,66,50,50
86,64,50,50
113,64,50,50
0,0,3,3
0,0,30,26
0,0,27,17
0,0,14,16
0,0,17,18
179,0,50,4
0,0,33,6
109,64,50,50
0,0,17,13
0,0,13,15
0,0,17,19
206,0,50,36
0,0,29,31
0,0,16,2
257,65,50,50
95,66,50,50
180,69,50,50
0,0,23,24
161,0,50,23
59,0,50,43
0,0,14,13
0,0,8,10
0,0,8,7
237,64,50,50
0,0,8,3
0,0,38,18
0,0,17,10
459,75,50,50
271,69,50,50
0,0,11,10
274,65,50,50
146,66,50,50
210,86,50,50
0,0,6,9
0,0,8,9
0,0,28,29
246,64,50,50
0,0,46,32
0,0,17,5
0,0,31,14
0,0,8,9
0,0,15,16
0,0,19,17
0,0,17,18
68,83,50,50
121,0,50,37
72,0,50,47
0,0,8,10
196,0,50,36
0,0,23,16
0,0,13,12
0,0,41,42
0,0,27,29
256,64,50,50
144,0,50,6
0,0,29,31
0,0,4,2
0,0,19,20
0,0,15,14
0,0,31,3
187,0,50,20
136,66,50,50
0,0,9,11
0,0,6,7
67,0,50,34
0,0,26,14
252,0,50,35
0,0,26,21
0,0,7,10
0,0,23,23
108,0,50,4
0,0,14,13
0,0,20,21
0,0,5,2
0,0,16,19
0,0,14,13
112,0,50,16
0,0,3,5
280,0,50,43
0,0,26,28
212,0,50,35
0,0,24,26
0,0,32,26
0,0,2,2
0,0,17,19
0,0,8,10
0,0,38,7
0,0,40,40
156,67,50,50
180,0,50,30
0,0,6,2
169,64,50,50
0,0,11,9
0,0,23,25
0,0,8,5
0,0,21,21
85,0,50,29
386,64,50,50
303,65,50,50
0,64,50,50
0,0,5,7
141,64,50,50
108,0,50,33
239,64,50,50
75,64,50,50
6,64,48,50
0,0,9,10
0,0,5,8
457,64,50,50
159,0,50,37
0,0,2,4
0,0,18,13
0,0,9,10
108,0,50,28
0,0,5,6
0,0,26,26
0,0,3,2
0,0,6,5
0,0,8,3
248,0,50,43
0,0,7,7
144,64,50,50
103,0,50,3
0,0,41,18
0,0,7,2
0,0,20,20
88,0,50,16
74,64,50,50
0,0,22,24
184,73,50,50
0,0,24,18
0,0,11,9
0,0,2,2
0,0,23,24
0,0,17,5
91,64,50,50
0,0,10,7
0,0,15,18
0,0,4,3
0,0,15,15
0,0,26,27
132,0,50,13
76,0,50,13
123,64,50,50
73,0,50,45
216,0,50,17
157,68,50,50
0,0,7,4
126,0,50,4
0,0,6,9
0,0,37,7
117,0,50,3
0,0,27,21
0,0,22,3
98,0,50,38
0,0,13,12
0,0,29,11
0,0,18,22
126,64,50,50
0,0,36,3
164,0,50,25
0,0,10,10
121,0,50,21
0,0,12,15
0,0,27,27
169,64,50,50
0,0,12,8
0,0,14,8
0,0,8,6
104,64,50,50
80,0,50,31
0,0,6,2
0,0,3,5
0,0,7,2
76,75,50,50
0,0,43,44
94,0,50,20
365,0,50,45
0,0,5,5
0,0,9,10
0,0,3,4
0,0,17,18
155,0,50,12
99,0,50,42
0,0,27,29
0,0,26,3
0,0,22,25
0,0,14,16
0,0,28,23
0,0,48,48
67,64,50,50
0,0,42,11
0,0,11,11
252,75,50,50
0,0,43,31
77,64,50,50
0,0,13,9
0,0,17,19
0,0,13,16
0,0,37,38
0,0,8,9
0,0,12,14
0,0,5,6
0,0,20,10
116,0,50,7
0,0,2,3
0,0,9,6
0,0,14,17
0,0,10,8
284,0,50,22
0,0,43,43
183,0,50,10
0,0,17,12
148,66,50,50
0,0,10,10
141,0,50,2
0,0,12,11
0,0,22,24
0,0,15,16
0,0,24,25
70,66,50,50
0,0,17,14
0,0,4,5
0,0,16,17
0,0,12,14
0,0,22,23
82,0,50,16
80,0,50,17
80,0,50,19
0,0,3,2
0,0,12,11
0,0,8,5
206,0,50,35
0,0,3,2
0,0,4,2
359,0,50,38
0,0,6,8
162,64,50,50
0,0,22,23
156,0,50,48
108,64,50,50
0,0,30,5
0,0,20,23
0,0,6,8
121,0,50,13
0,0,13,7
134,0,50,14
153,0,50,48
0,0,12,2
0,0,7,10
91,0,50,3
0,0,48,41
82,65,50,50
148,64,50,50
260,64,50,50
0,0,23,30
77,0,50,2
0,0,17,18
234,64,50,50
0,0,12,13
0,0,18,7
0,0,6,4
215,0,50,5
0,0,37,6
125,0,50,34
0,0,35,37
258,66,50,50
0,0,8,9
0,0,5,3
0,0,34,12
0,0,12,14
0,0,24,18
0,0,3,3
238,64,50,50
232,64,50,50
0,0,2,4
0,0,16,16
0,0,24,18
0,0,10,7
0,0,11,15
0,0,3,5
0,0,5,2
0,0,11,3
0,0,40,40
201,0,50,45
181,0,50,21
265,0,50,45
105,64,50,50
0,0,42,4
188,64,50,50
0,0,5,6
127,66,50,50
0,0,40,37
0,0,14,14
71,0,50,9
60,0,50,23
0,0,27,17
0,0,12,14
0,0,15,4
0,0,15,18
0,0,9,4
211,0,50,39
0,0,13,12
0,0,31,33
400,0,50,4
0,0,15,12
72,0,50,39
0,0,22,22
211,0,50,34
0,0,27,22
0,0,22,2
251,78,50,50
0,0,25,18
110,0,50,25
62,0,50,17
0,0,41,10
95,70,50,50
155,88,50,50
0,0,6,4
213,64,50,50
0,0,22,11
259,64,50,50
196,71,50,50
0,0,34,29
0,0,18,19
0,0,3,8
0,0,6,6
0,0,9,3
121,0,50,9
151,0,50,9
207,64,50,50
0,0,14,14
0,0,12,14
202,0,50,29
71,69,50,50
0,0,11,11
225,64,50,50
0,0,37,38
197,82,50,50
0,0,5,6
0,0,50,13
0,0,30,24
96,0,50,10
0,0,15,17
0,0,8,11
70,0,50,11
0,0,24,25
129,0,50,11
0,0,22,24
0,0,3,4
0,0,11,11
155,0,50,46
135,64,50,50
0,0,9,3
247,0,50,5
224,64,50,50
279,64,50,50
203,70,50,50
170,0,50,47
0,0,5,6
120,67,50,50
476,81,50,50
84,0,50,4
0,0,25,20
0,0,26,29
0,0,48,24
119,64,50,50
168,67,50,50
0,0,17,8
0,64,50,50
101,0,50,20
0,0,21,25
0,0,25,25
3,64,49,50
0,0,6,4
0,0,10,2
112,0,50,43
0,0,38,16
0,64,50,50
0,0,10,8
0,0,11,13
0,0,16,6
135,0,50,33
0,0,14,15
0,0,29,30
0,0,27,5
91,0,50,41
170,65,50,50
0,0,21,22
0,0,26,2
336,64,50,50
0,0,4,3
134,0,50,2
0,0,20,13
0,66,49,50
0,0,20,21
0,0,25,27
0,0,20,21
70,0,50,4
0,0,24,29
0,0,13,5
0,0,2,3
0,0,10,9
0,0,49,5
78,0,50,41
0,0,39,31
0,0,3,5
181,0,50,7
0,0,22,21
0,0,35,33
0,0,3,3
0,0,18,20
0,0,41,13
0,0,30,30
231,64,50,50
0,0,15,9
0,0,16,17
0,0,2,2
0,0,40,41
119,64,50,50
0,0,9,12
0,0,3,4
0,0,7,9
220,0,50,2
0,0,9,2
0,64,50,50
104,65,50,50
114,0,50,44
308,67,50,50
0,0,4,12
171,0,50,18
235,0,50,45
0,0,19,23
0,0,19,22
0,0,11,13
77,0,50,9
299,69,50,50
0,0,25,26
0,0,9,9
277,64,50,50
0,0,26,28
0,0,27,29
114,0,50,28
112,0,50,47
0,0,11,4
0,0,5,6
0,0,5,7
0,0,40,32
0,0,12,15
0,0,49,13
118,0,50,8
192,68,50,50
0,0,11,12
0,0,45,43
168,66,50,50
155,0,50,47
0,0,8,11
0,0,28,29
0,0,8,6
170,0,50,21
0,0,2,2
0,0,20,19
0,0,3,4
104,64,50,50
0,0,13,2
0,0,21,2
0,0,12,12
0,0,28,28
0,0,3,2
0,0,18,14
0,0,25,26
0,0,19,19
0,0,13,14
132,0,50,5
0,0,43,48
0,0,8,3
0,0,15,14
0,0,18,17
0,64,50,50
0,0,49,3
102,0,50,12
233,67,50,50
0,0,7,6
198,0,50,11
0,0,2,3
0,0,11,8
0,0,10,7
81,64,50,50
0,0,5,5
17,64,43,50
103,0,50,17
0,0,23,16
0,0,26,26
221,64,50,50
0,0,25,25
0,0,19,19
207,64,50,50
0,0,4,5
0,0,7,7
0,0,6,6
0,0,5,6
202,0,50,16
0,0,3,3
126,0,50,31
0,0,7,8
0,0,18,19
0,0,15,2
0,0,50,35
124,0,50,2
0,0,29,31
247,69,50,50
185,64,50,50
202,0,50,20
0,0,17,21
0,0,4,4
0,0,14,18
0,0,8,6
0,0,5,6
184,64,50,50
0,0,13,13
237,64,50,50
0,67,49,50
0,0,9,9
188,0,50,17
0,0,6,8
0,0,12,8
0,0,46,28
227,64,50,50
167,64,50,50
0,0,32,33
87,71,50,50
387,66,50,50
0,0,44,31
0,0,16,15
238,0,50,46
0,0,7,4
0,0,5,4
309,64,50,50
0,0,18,7
95,0,50,9
0,0,22,20
0,0,25,27
0,0,9,12
0,0,15,15
0,0,49,12
0,0,9,3
0,0,4,5
96,0,50,33
0,0,8,12
174,0,50,7
0,0,10,10
202,0,50,33
169,64,50,50
0,0,6,4
127,0,50,16
0,0,10,13
0,0,16,6
0,0,16,17
0,0,7,12
0,0,15,18
0,0,25,13
138,0,50,32
0,0,9,10
0,0,17,3
0,0,23,6
0,0,11,11
0,0,12,13
77,39,50,50
261,72,50,50
163,66,50,50
0,0,2,4
0,0,6,7
0,0,14,15
0,0,15,15
98,64,50,50
0,0,8,6
167,64,50,50
0,0,14,16
0,0,22,14
0,0,23,24
0,0,18,20
0,0,11,3
332,0,50,39
133,0,50,47
0,0,12,7
0,0,18,2
0,0,19,20
0,0,26,13
