"stock1","stock2","dead1","dead2"
84,108,50,50
174,93,50,50
71,0,50,47
0,0,13,16
90,148,50,50
106,94,50,50
0,0,19,14
107,103,50,50
0,0,24,26
67,0,50,49
68,0,50,48
163,0,50,50
0,0,31,28
0,0,30,29
0,0,5,7
0,0,13,14
78,64,50,50
159,94,50,50
157,78,50,50
97,75,50,50
0,0,7,6
95,90,50,50
138,142,50,50
0,0,8,9
0,0,14,11
69,7,50,46
68,67,50,40
0,0,33,31
0,0,25,24
0,0,4,2
0,0,5,5
0,0,29,30
0,0,27,24
314,72,50,50
64,135,50,50
0,0,48,47
0,0,41,44
0,0,2,3
0,0,17,17
0,0,11,12
205,93,50,50
135,77,50,50
0,0,7,9
166,114,50,50
0,0,29,31
0,0,4,4
0,0,10,6
0,0,13,14
173,64,50,50
0,0,9,7
0,0,18,21
83,118,50,50
120,89,50,50
0,0,17,15
0,0,2,5
0,0,35,33
0,0,10,11
0,0,28,24
0,0,33,30
0,0,9,8
0,0,5,5
0,0,21,17
0,0,15,13
101,49,50,50
62,0,50,45
0,0,10,9
116,0,50,48
64,64,50,50
0,0,22,23
0,0,9,10
64,0,50,50
0,0,25,24
0,0,23,22
0,0,11,10
0,0,11,7
77,110,50,50
0,0,10,11
185,64,50,50
64,78,50,50
0,0,27,26
80,173,50,50
0,0,8,6
0,0,5,8
0,0,25,26
235,103,50,50
0,0,24,25
0,0,3,5
0,0,20,22
0,0,15,17
0,0,16,17
0,0,6,7
99,87,50,50
0,0,12,11
161,81,50,50
0,0,46,45
0,0,11,15
0,0,3,9
92,192,50,50
0,0,26,27
0,0,21,23
64,95,50,50
0,0,11,11
0,0,6,6
0,0,2,5
0,0,15,15
0,0,11,10
0,0,44,44
0,0,14,12
64,2,50,49
85,178,50,50
0,0,30,30
70,70,50,45
0,0,18,13
0,0,15,14
79,64,50,50
7,64,45,50
81,45,50,50
0,0,41,43
0,0,8,4
0,0,17,16
0,0,16,12
0,0,7,5
0,0,7,6
0,0,30,26
0,0,6,8
95,90,50,50
0,0,19,21
0,0,29,30
0,0,8,9
0,0,2,2
0,0,31,32
222,172,50,50
117,68,50,50
0,0,11,12
0,0,25,24
0,0,34,34
0,0,8,7
0,0,11,11
0,0,18,18
220,86,50,50
0,0,4,5
0,0,49,50
150,80,50,50
258,140,50,50
0,0,22,19
0,0,8,8
0,0,12,12
0,0,10,13
118,156,50,50
0,0,42,40
0,0,25,24
0,0,8,7
0,0,19,17
96,131,50,50
193,73,50,50
0,0,8,10
0,0,20,17
0,0,7,7
0,0,15,17
0,0,18,17
0,0,44,43
0,0,36,36
0,0,15,14
0,0,11,10
0,0,22,20
0,0,16,19
0,0,26,27
103,120,50,50
138,125,50,50
143,219,50,50
0,0,13,14
0,0,14,13
0,0,44,40
0,0,9,9
126,98,50,50
98,128,50,50
0,0,8,5
0,0,28,27
120,104,50,50
121,162,50,50
0,0,2,2
0,0,16,18
0,0,14,13
0,0,20,18
0,0,24,22
279,85,50,50
0,0,7,7
200,98,50,50
64,0,50,50
0,0,17,16
0,0,4,3
0,0,19,18
0,0,23,22
137,69,50,50
129,149,50,50
0,0,6,8
0,0,4,8
0,0,20,16
0,0,12,14
68,67,50,50
123,97,50,50
0,0,33,34
0,0,34,32
0,0,10,7
64,85,50,50
0,0,14,16
0,0,12,14
0,0,29,27
0,0,33,33
231,64,50,50
0,0,4,4
0,0,15,12
0,0,28,30
107,187,50,50
66,0,50,48
0,0,10,4
138,181,50,50
0,0,14,14
0,0,12,9
0,0,6,8
0,0,46,43
0,0,17,19
0,0,2,2
0,0,17,18
0,0,4,4
0,0,21,20
0,0,33,32
0,0,27,27
0,0,21,20
0,0,15,17
0,0,40,39
356,90,50,50
354,108,50,50
0,0,27,28
282,65,50,50
0,0,11,11
127,125,50,50
0,0,11,9
0,0,35,32
0,0,2,4
0,0,19,16
164,68,50,50
0,0,17,18
309,143,50,50
0,0,42,41
131,0,50,50
75,90,50,50
0,0,29,30
0,0,11,11
210,101,50,50
125,89,50,50
0,0,4,4
162,65,50,50
0,0,36,33
0,0,20,18
319,134,50,50
64,131,50,50
0,0,36,35
0,0,17,16
0,0,35,34
0,0,13,13
0,0,13,11
0,0,49,47
111,97,50,50
0,0,23,23
307,133,50,50
84,105,50,50
0,0,10,11
195,112,50,50
0,0,7,9
0,0,6,3
56,0,50,47
0,0,16,13
125,138,50,50
115,145,50,50
132,173,50,50
115,134,50,50
0,0,38,36
0,0,13,13
0,0,42,45
99,100,50,50
0,0,46,46
76,81,50,50
0,0,5,6
0,0,27,27
123,240,50,50
0,0,18,19
0,0,18,16
64,0,50,50
112,78,50,50
0,0,48,50
0,0,6,4
0,0,12,11
0,0,50,48
0,0,16,13
0,0,14,11
0,0,9,7
0,0,9,7
0,0,16,19
0,0,8,10
0,0,2,2
0,0,15,9
114,79,50,50
64,0,50,50
0,0,14,9
105,122,50,50
121,64,50,50
0,0,35,34
0,0,17,16
0,0,43,44
0,0,15,11
0,0,11,12
0,0,23,23
78,113,50,50
0,0,18,17
77,72,50,50
0,0,48,49
0,0,22,24
0,0,41,41
0,0,14,8
232,0,50,50
239,139,50,50
0,0,8,6
0,0,7,3
0,0,16,12
0,0,21,20
0,0,43,44
0,0,30,33
0,0,12,12
0,0,9,11
159,122,50,50
138,74,50,50
0,0,2,2
0,0,3,2
0,0,12,12
0,0,29,29
0,0,9,6
0,0,29,28
0,0,17,16
0,0,7,6
0,0,5,2
272,77,50,50
0,0,16,14
0,0,16,18
155,165,50,50
0,0,22,22
0,0,17,13
71,111,50,39
0,0,21,22
0,0,9,9
0,0,6,3
0,0,47,42
0,0,10,7
0,0,45,42
248,79,50,47
0,0,34,40
0,0,11,12
0,0,6,4
0,0,29,32
0,0,5,4
196,66,50,50
127,166,50,50
174,102,50,50
0,0,35,33
0,0,4,6
0,0,10,7
67,86,50,50
0,0,9,11
0,0,23,14
0,0,7,8
0,0,18,18
0,0,18,17
0,0,6,10
0,0,6,6
366,82,50,50
0,0,20,19
0,0,25,17
0,0,20,20
0,0,14,11
155,95,50,50
0,0,29,28
0,0,21,23
0,0,30,27
114,78,50,50
0,0,3,6
68,86,50,50
0,0,30,32
0,0,17,15
0,0,2,2
0,0,23,22
0,0,17,14
0,0,28,22
0,0,12,8
0,0,12,11
79,207,50,50
0,0,37,37
0,0,11,12
0,0,26,24
0,0,19,21
0,0,5,8
64,0,50,50
156,118,50,50
0,0,5,3
0,0,18,17
77,9,50,48
0,0,43,41
0,0,24,21
0,0,4,5
0,0,7,5
0,0,7,6
0,0,50,48
0,0,4,4
105,207,50,50
0,0,11,13
0,0,36,36
0,0,16,18
0,0,31,35
330,105,50,30
0,0,14,14
65,92,50,50
0,0,7,9
101,198,50,50
0,0,11,8
0,0,11,11
0,0,36,35
327,81,50,50
64,86,50,50
0,0,22,20
0,0,5,6
0,0,41,39
322,82,50,50
0,0,8,8
0,0,12,14
0,0,5,3
0,0,30,29
0,0,3,2
0,0,11,15
0,0,28,25
368,64,50,50
0,0,13,21
0,0,4,2
0,0,14,14
0,0,5,3
122,77,50,50
0,0,18,20
0,0,21,21
0,0,9,11
0,0,25,19
0,0,16,17
0,0,29,34
0,0,12,14
0,0,9,10
0,0,15,17
0,0,5,6
0,0,9,11
0,0,23,21
192,79,50,50
0,0,32,34
0,0,18,16
0,0,22,23
90,107,50,50
0,0,22,22
0,0,40,42
118,146,50,50
0,0,2,4
152,233,50,50
0,0,9,9
110,115,50,50
0,0,24,30
0,0,23,24
0,0,13,12
0,0,19,15
0,0,16,7
0,0,11,11
0,0,12,14
0,0,16,16
0,0,8,9
92,79,50,50
0,0,9,9
0,0,2,2
0,0,27,30
0,0,36,33
0,0,39,40
0,0,11,12
0,0,15,16
0,0,13,12
0,0,14,12
0,0,10,10
0,0,15,12
181,72,50,50
0,0,16,15
56,64,50,50
0,0,28,26
0,0,7,4
0,0,15,12
0,0,28,26
93,223,50,50
248,104,50,50
115,135,50,50
0,0,28,27
0,0,3,2
364,83,50,50
0,0,39,36
0,0,4,6
0,0,15,10
0,0,2,4
0,0,21,19
89,77,50,50
0,0,2,2
0,0,14,11
0,0,2,3
69,86,50,50
0,0,23,26
0,0,4,7
0,0,11,10
0,0,6,2
0,0,6,5
0,0,42,41
0,0,17,17
64,0,50,50
0,0,34,34
0,0,20,20
0,0,10,10
0,0,45,43
0,0,36,36
128,77,50,50
161,68,50,50
0,0,17,19
0,0,6,7
61,64,50,50
0,0,16,13
0,0,44,42
0,0,5,5
0,0,4,2
179,66,50,50
450,81,50,50
160,108,50,50
0,0,35,29
0,0,5,8
0,0,17,14
148,111,50,50
0,0,9,9
0,0,39,39
0,0,20,22
69,85,50,50
64,0,50,50
97,69,50,50
0,0,16,20
0,0,36,33
0,0,9,10
0,0,19,20
247,135,50,50
345,80,50,50
0,0,11,11
0,0,3,4
0,0,35,39
0,0,10,10
0,0,39,36
122,88,50,50
0,0,15,14
0,0,8,7
0,68,49,50
0,0,44,41
0,0,4,7
0,0,13,15
0,0,8,4
139,94,50,50
0,0,20,21
163,66,50,50
0,0,18,18
0,0,18,17
144,100,50,50
0,0,22,19
0,0,23,24
0,0,7,10
0,0,35,37
0,0,8,6
0,0,43,45
0,0,25,22
357,73,50,50
0,0,19,20
0,0,5,4
0,0,34,34
0,0,26,27
0,0,31,33
0,0,14,14
0,0,33,28
0,0,19,16
0,0,10,10
0,0,25,24
98,79,50,50
0,0,11,10
0,0,8,3
0,0,37,37
0,0,6,5
140,103,50,50
0,0,21,19
0,0,14,15
187,83,50,50
317,99,50,50
0,0,17,18
0,0,21,22
0,0,7,8
0,0,7,6
0,0,11,14
66,239,50,50
0,0,29,31
0,0,9,9
0,0,17,17
0,0,12,10
0,78,46,50
0,0,26,28
177,64,50,50
0,0,43,44
87,81,50,50
0,0,8,5
103,174,50,50
82,0,50,39
0,0,11,14
157,65,50,50
0,0,19,18
0,0,6,5
0,0,26,27
0,0,26,22
0,0,50,48
0,0,21,21
0,0,7,6
0,0,13,9
0,0,5,8
0,0,13,15
0,0,5,10
0,0,42,38
0,0,44,44
123,67,50,50
0,0,21,24
0,0,8,2
0,0,7,5
57,0,50,50
0,0,48,47
157,102,50,50
0,64,50,50
0,0,22,15
0,0,2,2
89,84,50,50
113,111,50,50
131,79,50,50
0,0,20,18
152,148,50,50
0,0,24,22
0,0,14,12
64,75,50,50
0,0,25,24
0,0,7,7
0,0,9,11
0,0,7,6
0,0,24,18
0,0,26,24
0,0,17,16
0,0,20,25
0,0,24,20
0,0,29,29
0,0,8,6
0,0,21,23
0,0,6,4
188,68,50,50
0,0,10,9
0,0,7,8
94,86,50,50
0,0,9,8
0,0,8,9
0,0,13,8
0,0,38,39
0,0,43,42
0,0,25,26
0,0,15,15
89,7,50,45
0,0,2,5
0,0,25,25
141,195,50,50
0,0,6,9
64,85,50,50
74,64,50,45
0,0,3,5
0,0,42,37
84,86,50,50
107,64,50,19
0,0,9,8
0,0,6,9
0,0,8,6
0,0,4,5
0,0,9,7
73,145,50,50
0,0,13,12
101,246,50,50
0,0,13,15
91,64,50,23
0,0,16,17
0,0,25,26
0,0,39,43
83,186,50,50
160,118,50,50
142,121,50,50
0,0,10,10
170,181,50,50
73,64,50,48
66,92,50,50
0,0,3,5
0,0,7,9
0,0,38,36
0,0,43,46
0,0,12,11
0,0,30,30
247,106,50,50
64,157,50,50
72,0,50,47
0,0,29,28
0,0,18,21
0,0,36,35
0,0,21,17
0,0,30,35
0,0,37,34
0,0,42,41
96,98,50,50
0,0,3,3
274,69,50,50
0,0,20,21
156,88,50,50
0,0,14,15
408,118,50,50
0,0,11,9
0,0,31,31
118,130,50,27
0,0,31,31
135,101,50,50
81,90,50,50
157,64,50,50
77,0,50,45
0,0,25,21
0,0,2,4
0,0,40,39
0,0,6,8
0,0,26,24
0,0,10,11
179,141,50,50
0,0,13,12
119,115,50,50
0,0,4,2
0,0,13,6
0,0,9,8
0,0,24,19
106,73,50,50
0,0,12,13
0,0,11,9
0,0,16,17
77,87,50,50
0,0,18,19
0,0,25,16
0,0,8,9
0,0,7,9
224,119,50,50
0,0,44,41
0,0,13,10
0,0,21,17
0,0,3,4
0,0,3,10
0,0,14,13
0,0,37,40
0,0,8,8
0,0,27,27
0,0,23,24
0,0,9,6
77,82,50,50
114,69,50,50
0,0,9,11
0,0,14,15
64,88,50,50
0,0,11,13
0,0,6,8
0,0,15,15
0,0,12,15
195,89,50,50
0,0,2,2
0,0,19,17
0,0,9,10
0,0,32,30
0,0,19,16
0,0,12,10
0,0,2,3
0,0,7,8
0,0,14,13
0,0,6,9
0,0,14,13
0,0,11,13
0,0,9,9
139,102,50,50
0,0,25,27
0,64,50,50
0,0,18,14
0,0,19,17
0,0,9,8
99,115,50,50
0,0,15,15
0,0,43,38
0,0,37,41
0,0,13,8
0,0,44,44
0,0,21,20
115,83,50,50
0,0,19,18
